Index,ID,RemoteFrame,DLC,Payload,TimeInterval
0,016,0,1,F2,0.00040763058858450066
1,02F,0,0,,0.0003710864635713708
2,043,0,0,,0.0004155738240265596
3,079,0,1,F4,0.00021576889704958023
4,01E,0,1,F3,0.0001938673735078753
5,2A9,0,0,,0.00024112175249358772
6,038,0,0,,0.0002569211743851908
7,13C,0,1,FB,0.00025725140125358256
8,01B,0,0,,0.0001852115174088775
9,044,0,2,FD01,0.000336290964201796
10,00B,0,2,F905,0.0004567279458726063
11,098,0,2,EE09,0.00017192741274869633
12,022,0,1,FB,0.0006636837125583461
13,032,0,0,,0.00042921109293490997
14,0AA,0,1,F5,0.0006839981389954088
15,02F,0,7,FA0A080D040808,0.00032821667926827167
16,02E,0,0,,0.00038288633233388863
17,030,0,6,FD0603020702,0.0006823001183881723
18,017,0,0,,0.0001937855902951538
19,08A,0,0,,0.000776860909403995
20,02F,0,2,F90A,8.362747028114998e-05
21,046,0,1,E6,0.0005283947626065337
22,016,0,1,F8,0.00042659182861536543
23,20F,0,0,,6.201242598531697e-05
24,026,0,0,,0.0002111595844705348
25,1A0,0,1,ED,0.00017695392681322744
26,0B5,0,0,,0.00028832375630796645
27,00F,0,3,FE0703,0.0001991028230045429
28,03B,0,0,,2.7936599921959198e-05
29,49D,0,0,,8.130010717565431e-05
30,01F,0,0,,8.148453590663426e-05
31,054,0,1,FC,0.0003142712581164256
32,021,0,1,FC,0.0004990073975856607
33,0DB,0,1,FD,0.00029970712271395415
34,02D,0,0,,0.0002530721273576545
35,074,0,1,FB,0.0003638827875636677
36,010,0,1,FD,0.0005830393362802539
37,015,0,0,,0.00032039000498570444
38,071,0,0,,0.0006406936154825973
39,032,0,0,,0.0001301315202715734
40,0D6,0,0,,9.105657818932501e-05
41,052,0,1,F3,0.00045339247600083987
42,3BE,0,0,,0.00043489548734666457
43,08A,0,0,,0.00026786751081850515
44,036,0,0,,0.0010328016074917456
45,031,0,0,,0.00023416717464525791
46,0C6,0,6,F5080811050B,0.00040543913168544917
47,014,0,3,F50A0B,0.00014258101370960487
48,028,0,2,F701,0.0003516379455335341
49,044,0,0,,0.00034704306178612564
50,073,0,0,,0.0003271558180160211
51,02E,0,1,FB,3.8815033455460475e-05
52,216,0,0,,0.00012889267863732708
53,176,0,0,,0.00019441813837404973
54,041,0,1,F7,0.00033602624720405276
55,1EA,0,0,,0.0007935203491614962
56,234,0,1,F1,0.0007778631925748164
57,03C,0,1,FD,0.00012604042587455644
58,02E,0,0,,0.00028931684667677586
59,089,0,1,F3,0.000269995927110879
60,031,0,1,F6,0.0001043919870147802
61,02E,0,0,,0.0005418966979991801
62,028,0,0,,0.0004093749599539854
63,34C,0,0,,0.00012495891800548935
64,1DC,0,6,E01C14031625,0.0007163437715038736
65,0FF,0,0,,0.00012606821253177065
66,1E5,0,1,DB,0.0007336106501982056
67,077,0,0,,5.498326818377102e-05
68,305,0,1,F8,0.0006707571125789603
69,091,0,0,,4.218043571533143e-05
70,066,0,2,FA0D,0.00030026770513567533
71,04B,0,0,,0.0003676726317562401
72,0BB,0,1,F8,0.0008768747872728565
73,005,0,0,,0.00021961123541415958
74,04B,0,0,,0.0003876436520003438
75,0CC,0,1,F7,0.00011578581060493363
76,0AE,0,1,F8,0.00031179488385533924
77,289,0,2,F605,0.00036601069810318003
78,053,0,0,,0.00029462466345789057
79,0DF,0,0,,0.0006019424147320461
80,023,0,0,,0.00037436484287012425
81,0FE,0,0,,4.304178118249089e-05
82,046,0,0,,0.0003651124810211545
83,033,0,1,F7,0.0006330764418853647
84,211,0,0,,0.00033866931165825616
85,01B,0,0,,0.00016714072966610575
86,0B6,0,0,,0.00010910187003784346
87,073,0,1,F8,0.0001233865844218778
88,5C7,0,0,,0.00010958433595508901
89,08E,0,0,,0.0006788444578363786
90,122,0,0,,6.286996714970205e-05
91,093,0,1,F7,0.0005181902763705361
92,02F,0,0,,0.00017123674771598026
93,100,0,1,FC,0.0002487505435315506
94,13D,0,0,,0.0004202342771449532
95,06C,0,1,F1,0.00037189474589455413
96,083,0,1,F8,0.00013022298716408424
97,006,0,6,FE0101040501,0.002494406909113378
98,051,0,1,FC,0.00024179307991689344
99,0E9,0,0,,0.00011502430298389706
100,11C,0,1,F6,0.0003672427418239644
101,049,0,0,,0.0004480755259180498
102,0F2,0,0,,0.0005181951553981411
103,083,0,0,,0.0005743142664146512
104,2BC,0,0,,0.00024387255718237496
105,038,0,0,,0.00012133837458330435
106,1F5,0,0,,0.00028005240625946675
107,003,0,0,,0.00015359989592837625
108,19C,0,0,,0.00028642629057228856
109,28B,0,0,,0.00015116451739923974
110,04E,0,0,,0.00012117227195601173
111,025,0,0,,0.0003907797957443422
112,046,0,2,EE06,0.00033613724508206805
113,03C,0,1,F9,0.00031062757650082695
114,025,0,0,,0.00011344455417083085
115,017,0,0,,0.0004548564520338749
116,04B,0,0,,0.0002864977207264335
117,013,0,1,F5,0.0002701384304171489
118,011,0,0,,0.00010669004620447714
119,13E,0,1,F5,0.00010225280116147325
120,033,0,0,,0.0003785649121337105
121,3CB,0,0,,0.00036524100174831236
122,035,0,0,,0.000515032831506018
123,08E,0,0,,0.00030762983053986986
124,047,0,1,F3,0.0002494308406306059
125,10F,0,1,F8,0.000193261362579124
126,042,0,0,,0.0001083698597086997
127,029,0,2,FC06,0.0002558129508649692
128,13E,0,0,,0.0001447223118248628
129,31B,0,0,,3.362068753510294e-05
130,05F,0,2,F10E,0.000572343674765234
131,321,0,0,,0.00022805964358943708
132,02E,0,0,,0.00111995579660173
133,0C0,0,0,,0.00017966206976063867
134,4EA,0,7,F6370A0A2A0804,0.00017503945885635264
135,051,0,0,,0.0005675234334927745
136,051,0,2,F206,0.0007018837616905347
137,02F,0,0,,6.36597076804777e-05
138,013,0,0,,0.0004541642251173219
139,10C,0,0,,0.00045083351527248726
