Index,ID,RemoteFrame,DLC,Payload,TimeInterval
0,5e8,0,7,0006000000000101,0.0004067201016493259
1,599,0,7,0002010203000000,0.0009621325023019238
2,50b,0,7,0002010101010101,0.0005792789969181183
3,4a6,0,7,0001000101000100,0.0007921393245382523
4,02e,0,0,ff00000000000000,2.6425794641962424e-10
5,4b5,0,7,0002010101000101,0.0006706752779184179
6,4e5,0,7,0002010101000301,0.0006961271955692163
7,675,0,7,bd00000003000000,0.00650585572776661
8,519,0,7,0001010101010101,0.000629362339005011
9,591,0,7,0002020200030101,0.00077537520647297
10,567,0,7,0001010100020100,0.000830840476268688
11,50a,0,7,0002010202000000,0.000525051767766625
12,5b2,0,7,0001020100050100,0.0007321281158709758
13,4fd,0,7,0001010100010100,0.0007304461852388733
14,514,0,7,0002000101000201,0.0008224001298557912
15,5e6,0,8,0001000102000000,0.0015584767687499787
16,55c,0,7,0002020301020201,0.0006032360637799864
17,517,0,7,0001010101010101,0.0007447113361731516
18,5fb,0,7,0c00000000010000,9.749035921280372e-05
19,543,0,7,0001010200020201,0.0008665921554413787
20,4df,0,7,0002000101000201,0.000556664744948419
21,68d,0,0,ff00000000000000,4.624898753280412e-05
22,626,0,7,0001010103000000,0.001758339904551315
23,52a,0,7,0002010201010201,0.0007391397658835763
24,53d,0,7,0002020201010101,0.0005876413884298142
25,502,0,7,0002010102000101,0.0005257297012537504
26,48e,0,7,0002000101000201,0.0005028842069165747
27,626,0,6,ff00000000000000,0.0011767198170566893
28,55d,0,7,0001010103000000,0.0009686840515215038
29,635,0,7,ff00000000000000,0.0001829192983135991
30,559,0,7,0001000002000000,0.0007160770348377788
31,5a4,0,7,0001020100040100,0.0009250484975815681
32,5b6,0,7,0001000106000000,0.0010167369306657262
33,4f3,0,7,0001010201000101,0.0004598987539416996
34,535,0,7,0002020201010101,0.0006305757654487801
35,647,0,7,ff00000000000000,5.184403220059848e-05
36,57e,0,7,0004000000000101,0.0005452233136349333
37,544,0,7,0001020201010101,0.0006249996656695325
38,4db,0,7,0002010101010201,0.0007583180423456048
39,642,0,7,ff00000000000000,0.00043818896954128526
40,561,0,7,ff00000000000001,0.00020700807796725167
41,5c3,0,7,0005000100010201,0.001107287865856673
42,613,0,8,0001010103000000,0.0017628595008645166
43,4e3,0,7,0001010100010100,0.0006053092588818014
44,516,0,7,0001010101010101,0.0005298324057214627
45,001,0,0,ff00000000000000,1.2902646469992264e-08
46,501,0,7,0600000000010000,8.114067455289284e-05
47,4e3,0,7,0001010100010100,0.0005928286672798303
48,647,0,7,0001010102000000,0.0025703497426903177
49,4f7,0,7,0001010200010201,0.0007874783008698903
50,519,0,7,0002000002000000,0.000638940779296602
51,633,0,0,ff00000000000000,0.002988166796043847
52,581,0,7,0001010100010000,0.0012268350443669326
53,548,0,7,0002020201010101,0.0006707305257727094
54,5f2,0,8,0001000204000000,0.0014977451328306256
55,508,0,7,0000010000010000,0.0003413359944532946
56,533,0,7,0001010000020000,0.0006760611391314321
57,5d9,0,7,0000020000070000,0.00038584314736311734
58,4ba,0,7,0001010101000101,0.0005181770752180609
59,5ad,0,0,ff00000000000000,9.107144656250705e-05
60,59e,0,7,0002030200050101,0.0008513060813744007
61,5aa,0,7,0005000000000001,0.00020686231481770116
62,5da,0,7,0005000000000100,0.0003065895639950957
63,4cd,0,7,fe00000001000000,0.0001963536603839516
64,4d3,0,7,0002010101010100,0.00048455109746825396
65,495,0,7,0001010101000101,0.00047566325535530605
66,50e,0,7,0001010202000000,0.0007416907625472623
67,523,0,7,0001010200010101,0.0007379156712996581
68,56a,0,7,0001010200020101,0.0009062495658795883
69,5dc,0,7,ff00000001000000,0.00420967003508109
70,68d,0,8,ff00000000000000,1.6559209884210575e-11
71,4d0,0,7,0002010101000101,0.0004775583401954705
72,4f3,0,7,0001010103000000,0.0006429701775498822
73,528,0,7,0002010201010201,0.000671830357383383
74,5e7,0,0,ff00000000000000,0.00010869311323991016
75,50a,0,7,0002010201010101,0.0005469833183653334
76,549,0,7,0001020100020000,0.0005804501083925811
77,536,0,7,0001020200020101,0.0008005151853218682
78,539,0,7,0001020201010100,0.0006156841145745754
79,536,0,7,0002010201010101,0.0006125522108604268
80,5ba,0,7,0001000104000000,0.0005201064590227828
81,50a,0,7,0001010101000000,0.0006200568600647198
82,48d,0,7,0001010101000000,0.0004133110157100704
83,27e,0,0,ff00000000000000,4.833855267963302e-06
84,655,0,7,0000000104000000,0.003865902509254215
85,4fc,0,7,0001000102000000,0.0006198790179965367
86,4aa,0,7,0001000000010000,0.0007732609479713635
87,553,0,7,0001020201030101,0.0007827133373332605
88,5fe,0,8,0000010000050000,0.00015433348039728355
89,5eb,0,7,000c000000000001,4.574686231340039e-05
90,5ac,0,7,0001010100020100,0.001131455077199913
91,5fa,0,7,ff00000000000000,0.00044714326403560853
92,538,0,7,0002010201020101,0.0007054776714134881
93,667,0,8,000a000000000000,1.4136965398765757e-06
