Index,ID,RemoteFrame,DLC,Payload,TimeInterval
0,220,0,8,29c526556a67025d,0.0
1,4b1,0,8,5e51cfb74c99aa97,0.000868
2,2b0,0,5,3aff00072c,0.000344
3,165,0,8,0008800200000c86,0.00023999999999999998
4,220,0,8,d4a6e3a923aad31f,0.00033
5,4b0,0,8,1a867b2ea30a58bb,0.0009050000000000002
6,4f0,0,8,000030000093cd04,0.00021799999999999988
7,316,0,8,0517e6091718007f,0.000255
8,329,0,8,d7b4808c112c0010,0.000245
9,080,0,8,0017e6091718173f,0.00020700000000000015
10,081,0,8,408485000000004f,0.000255
11,18f,0,8,003c1700003f0000,0.00022799999999999947
12,260,0,8,05170030008c572e,0.00023800000000000036
13,2a0,0,8,c200859dba0cb702,0.00024300000000000016
14,4b0,0,8,0000000000000000,0.00023399999999999983
15,164,0,8,0008010000000c05,0.00024799999999999996
16,545,0,8,d8150089e9ffe9ff,0.00023800000000000036
17,5a0,0,8,aa61a5e707049722,0.0002279999999999999
18,153,0,8,9eac8f2865e414a6,0.00032800000000000017
19,220,0,8,6209aaf9eabfc59b,0.0003139999999999992
20,1f1,0,8,4357617c46b2a2a6,0.00031400000000000004
21,5a0,0,8,4509ff4216eaa5b8,0.0009650000000000006
22,43f,0,8,004060ff72a40900,0.0002519999999999996
23,110,0,8,e00c300900000000,0.00022099999999999984
24,370,0,8,ff200080ff0000ec,0.00023899999999999963
25,440,0,8,fff00000ffa40900,0.0002470000000000007
26,1f1,0,8,7690d88d9dd3b634,0.00022800000000000077
27,153,0,8,00a120ff00ff30ef,0.00023599999999999836
28,1f1,1,0,,9.300000000000107e-05
29,220,0,8,c003f4030c003f10,0.00024399999999999943
30,1f1,0,8,0800000000000000,0.00025799999999999955
31,4b1,0,8,18efa84a2c75404c,0.0002310000000000003
32,4b1,0,8,8fdb324ed6b44a09,0.0007690000000000006
33,2b0,0,5,39ff00070d,0.0007509999999999999
34,165,0,8,ff07800200000d77,0.00023300000000000057
35,4b0,0,8,b177e8f62787e304,0.00021799999999999944
36,220,0,8,5cec64cd01225a2c,0.0008109999999999992
37,316,0,8,0518e2091818007f,0.0007490000000000014
38,260,0,8,05180030008c593a,0.00021000000000000012
39,2a0,0,8,6200859dba0cb702,0.00023299999999999883
40,080,0,8,0017e20918181840,0.0002409999999999999
41,081,0,8,4084850000000030,0.0002360000000000001
42,164,0,8,e4933bf867ba42bd,0.0002199999999999997
43,18f,0,8,003c1800003f0000,0.000256000000000001
44,153,0,8,92b5897427fba858,0.00022799999999999904
45,329,0,8,d7b4808c112c0010,0.0002530000000000015
46,350,0,8,0520445f860000b8,0.00021099999999999938
47,382,0,8,40fe0f0000000004,0.0002520000000000005
48,4b1,0,8,0000000000000000,0.00024599999999999796
49,164,0,8,0008010000000d04,0.0002510000000000012
50,220,0,8,7b74c322042ce70a,0.0002139999999999989
51,4f2,0,8,0000c03800000090,0.00025600000000000275
52,545,0,8,d815008beffff2ff,0.00023199999999999957
53,153,0,8,41c0db313c058b66,0.00022099999999999898
54,43f,0,8,004060ff72a00900,0.000678999999999999
55,370,0,8,ff200080ff0000a0,0.00021000000000000185
56,1f1,0,8,00215eeff870fb3a,0.0002260000000000005
57,440,0,8,ff000000ffa00900,0.00027099999999999694
58,510,0,8,0000000000000000,0.0002270000000000015
59,153,0,8,00a120ff00ff40ff,0.00024199999999999916
60,1f1,0,8,0800000000000000,0.0002459999999999997
61,220,0,8,bf03f3030c003f10,0.00025600000000000275
62,220,1,0,,7.699999999999721e-05
63,220,0,8,bf03f3030c003f10,0.0002500000000000002
64,4b1,0,8,5f1b8607eadf7151,0.0002370000000000011
65,164,0,8,8754cee26a4d80f9,0.0004599999999999986
66,2b0,0,5,39ff00073e,0.0008110000000000027
67,164,0,8,397407df05689748,0.00023899999999999963
68,165,0,8,0008800200000e84,0.00024099999999999816
69,5a0,0,8,859aa7c4307f4970,0.0006339999999999991
70,4f0,0,8,000032000093cd04,0.0005450000000000003
71,5a2,0,8,526b6afa4c778802,0.0004400000000000029
72,4b0,0,8,0000000000000000,0.0003789999999999974
73,164,0,8,0008010000000e07,0.00021900000000000044
74,260,0,8,05180030008c590d,0.00023300000000000057
75,080,0,8,0017e20918181831,0.00024199999999999916
76,081,0,8,4084850000000021,0.0002380000000000021
77,18f,0,8,003d1800003f0000,0.00024199999999999916
78,2a0,0,8,0200859dba0cb702,0.00023199999999999957
79,316,0,8,0518e2091818007f,0.0002360000000000001
80,329,0,8,d7b4808c112c0010,0.00023099999999999857
81,4b0,0,8,1ef69b7d0a39bcb1,0.00022100000000000244
82,545,0,8,d815008bf0fff3ff,0.0002449999999999987
83,5a0,0,8,67a81dfaceefbf79,0.0002270000000000015
84,164,0,8,3217b3fe93ff1335,0.00032899999999999943
85,5a2,0,8,8193c2a46e89dd1e,0.0005219999999999982
86,43f,0,8,004060ff729c0900,0.0005990000000000023
87,370,0,8,ff200080ff000064,0.00023300000000000057
88,440,0,8,ff500000ff9c0900,0.00024099999999999816
89,5a0,0,8,3f690b5212c77126,0.00022199999999999998
90,153,0,8,00a120ff00ff500f,0.0002480000000000017
91,220,0,8,bd03f4030c003f10,0.00023999999999999716
92,5a2,0,8,9ece88e9b83f4502,0.0002149999999999999
93,2c0,1,0,,0.00010700000000000293
94,2c0,0,8,3d00000000000000,0.0002669999999999999
95,0a0,0,8,4480e60900240002,0.0004979999999999984
96,0a1,0,8,7f8f808025000000,0.00024400000000000116
97,153,0,8,f7ee147cd2e6cd65,0.0002249999999999995
98,2b0,0,5,38ff00073f,0.0008179999999999993
99,164,0,8,532c3a3ea9e9f694,0.00022199999999999998
100,165,0,8,0008800200000f85,0.0002370000000000011
101,164,0,8,d1e81172d849d106,0.0008490000000000025
102,4f2,0,8,0000d03800000091,0.0002489999999999992
103,316,0,8,0518de091818007f,0.0005299999999999958
104,220,0,8,1f26fbb215da6504,0.0002060000000000048
105,260,0,8,05180030008c591c,0.0002519999999999953
106,080,0,8,0017de0918181872,0.00023200000000000304
107,081,0,8,4084850000000012,0.0002360000000000001
108,18f,0,8,003d1800003f0000,0.00024300000000000016
109,2a0,0,8,a200859dba0cb702,0.0002309999999999951
110,329,0,8,d7b4808c112c0010,0.00022800000000000598
111,350,0,8,0520545f860000a8,0.00023999999999999716
112,382,0,8,40fe0f0000000008,0.0002479999999999982
113,4b1,0,8,0000000000000000,0.00024800000000000516
114,164,0,8,0008010000000f06,0.00024199999999999916
