ID,RemoteFrame,DLC,Payload,TimeInterval
0x5e8,0,7,00060000000001,1744655004.4955606
0x599,0,7,00020102030000,1744655004.4965487
0x50b,0,7,00020101010101,1744655004.497143
0x4a6,0,7,00010001010001,1744655004.4979484
0x2e,0,0,,1744655004.4979608
0x4b5,0,7,00020101010001,1744655004.498645
0x4e5,0,7,00020101010003,1744655004.4993556
0x675,0,7,bd000000030000,1744655004.5058787
0x519,0,7,00010101010101,1744655004.506519
0x591,0,7,00020202000301,1744655004.5073051
0x567,0,7,00010101000201,1744655004.5081458
0x50a,0,7,00020102020000,1744655004.5086827
0x5b2,0,7,00010201000501,1744655004.5094252
0x4fd,0,7,00010101000101,1744655004.5101662
0x514,0,7,00020001010002,1744655004.5110016
0x5e6,0,8,0001000102000000,1744655004.5125723
0x55c,0,7,00020203010202,1744655004.5131876
0x517,0,7,00010101010101,1744655004.5139477
0x5fb,0,7,0c000000000100,1744655004.5140562
0x543,0,7,00010102000202,1744655004.514934
0x4df,0,7,00020001010002,1744655004.5155022
0x68d,0,0,,1744655004.5155594
0x626,0,7,00010101030000,1744655004.5173287
0x52a,0,7,00020102010102,1744655004.5180788
0x53d,0,7,00020202010101,1744655004.5186777
0x502,0,7,00020101020001,1744655004.5192144
0x48e,0,7,00020001010002,1744655004.5197299
0x626,0,6,ff0000000000,1744655004.52092
0x55d,0,7,00010101030000,1744655004.5219033
0x635,0,7,ff000000000000,1744655004.5221007
0x559,0,7,00010000020000,1744655004.5228293
0x5a4,0,7,00010201000401,1744655004.5237653
0x5b6,0,7,00010001060000,1744655004.524793
0x4f3,0,7,00010102010001,1744655004.5252643
0x535,0,7,00020202010101,1744655004.5259078
0x647,0,7,ff000000000000,1744655004.5259693
0x57e,0,7,00040000000001,1744655004.5265257
0x544,0,7,00010202010101,1744655004.5271623
0x4db,0,7,00020101010102,1744655004.527934
0x642,0,7,ff000000000000,1744655004.5283837
0x561,0,7,ff000000000000,1744655004.528602
0x5c3,0,7,00050001000102,1744655004.52972
0x613,0,8,0001010103000000,1744655004.531495
0x4e3,0,7,00010101000101,1744655004.5321195
0x516,0,7,00010101010101,1744655004.5326605
0x1,0,0,,1744655004.5326717
0x501,0,7,06000000000100,1744655004.5327632
0x4e3,0,7,00010101000101,1744655004.5333674
0x647,0,7,00010101020000,1744655004.535948
0x4f7,0,7,00010102000102,1744655004.536747
0x519,0,7,00020000020000,1744655004.537397
0x633,0,0,,1744655004.5403957
0x581,0,7,00010101000100,1744655004.5416324
0x548,0,7,00020202010101,1744655004.5423138
0x5f2,0,8,0001000204000000,1744655004.5438216
0x508,0,7,00000100000100,1744655004.5441732
0x533,0,7,00010100000200,1744655004.544861
0x5d9,0,7,00000200000700,1744655004.5452607
0x4ba,0,7,00010101010001,1744655004.545791
0x5ad,0,0,,1744655004.5458925
0x59e,0,7,00020302000501,1744655004.5467556
0x5aa,0,7,00050000000000,1744655004.5469728
0x5da,0,7,00050000000001,1744655004.5472896
0x4cd,0,7,fe000000010000,1744655004.547496
0x4d3,0,7,00020101010101,1744655004.547992
0x495,0,7,00010101010001,1744655004.5484784
0x50e,0,7,00010102020000,1744655004.5492313
0x523,0,7,00010102000101,1744655004.549981
0x56a,0,7,00010102000201,1744655004.5509005
0x5dc,0,7,ff000000010000,1744655004.5551245
0x68d,0,8,ff00000000000000,1744655004.555134
0x4d0,0,7,00020101010001,1744655004.5556235
0x4f3,0,7,00010101030000,1744655004.5562778
0x528,0,7,00020102010102,1744655004.5569606
0x5e7,0,0,,1744655004.5570803
0x50a,0,7,00020102010101,1744655004.5576386
0x549,0,7,00010201000200,1744655004.558229
0x536,0,7,00010202000201,1744655004.5590394
0x539,0,7,00010202010101,1744655004.5596662
0x536,0,7,00020102010101,1744655004.560288
0x5ba,0,7,00010001040000,1744655004.56082
0x50a,0,7,00010101010000,1744655004.5614533
0x48d,0,7,00010101010000,1744655004.5618799
0x27e,0,0,,1744655004.5618956
0x655,0,7,00000001040000,1744655004.5657744
0x4fc,0,7,00010001020000,1744655004.566405
0x4aa,0,7,00010000000100,1744655004.5671875
0x553,0,7,00010202010301,1744655004.5679793
0x5fe,0,8,0000010000050000,1744655004.5681448
0x5eb,0,7,000c0000000000,1744655004.568201
0x5ac,0,7,00010101000201,1744655004.569343
0x5fa,0,7,ff000000000000,1744655004.569801
0x538,0,7,00020102010201,1744655004.570516
0x667,0,8,000a000000000000,1744655004.5705264
