ID,RemoteFrame,DLC,Payload,TimeInterval
0x316,0,8,0520ea0a201a007f,1739901101.5227401
0x329,0,8,d7a77f8c112f0010,1739901101.5254836
0x80,0,8,0017ea0a201a2043,1739901101.5258799
0x81,0,8,7f84600000000053,1739901101.5262046
0x120,0,4,00000000,1739901101.5264678
0x153,0,8,008010ff00ff40ce,1739901101.5267935
0x18f,0,8,0029200000450000,1739901101.52712
0x220,0,8,ec0302040c003510,1739901101.527455
0x153,1,0,,1739901101.527613
0x153,0,8,008010ff00ff40ce,1739901101.527938
0x260,0,8,05200030ff935f35,1739901101.5282583
0x2a0,0,8,6200609ddb0cba02,1739901101.528567
0x370,0,8,ff200080ff0000ec,1739901101.5288675
0x382,0,8,40fe0f0000000008,1739901101.529182
0x43f,0,8,105060ff4b980900,1739901101.5294814
0x440,0,8,fff00000ffa00900,1739901101.529786
0x517,0,8,0000000000000000,1739901101.530088
0x545,0,8,d810008c32003200,1739901101.5303848
0x59b,0,8,00000000000000c4,1739901101.5306826
0x2b0,0,5,1500000730,1739901101.5322592
0x165,0,8,0fe87f0000000098,1739901101.5325541
0x4b1,0,8,0001000000000001,1739901101.532836
0x164,0,8,0008000000000109,1739901101.5331347
0x4f0,0,8,0000e60000ced204,1739901101.5370255
0x316,0,8,0520ea0a201a007f,1739901101.537286
0x329,0,8,d7a77f8c112f0010,1739901101.5375767
0x80,0,8,0017ea0a201a2034,1739901101.5378685
0x81,0,8,7f84600000000044,1739901101.5381875
0x153,0,8,008010ff00ff50de,1739901101.5385158
0x18f,0,8,0029200000450000,1739901101.5388434
0x1f1,0,8,0000000000000000,1739901101.5391753
0x220,0,8,ed0306040c003a10,1739901101.5394917
0x260,0,8,05200030ff935f08,1739901101.5398333
0x2a0,0,8,0200609ddb0cba02,1739901101.5401402
0x164,1,0,,1739901101.5402992
0x164,0,8,0008000000000109,1739901101.5406141
0x370,0,8,ff200080ff0000a0,1739901101.5409336
0x43f,0,8,105060ff4b9c0900,1739901101.5412416
0x440,0,8,ff000000ffa00900,1739901101.5415604
0x510,0,8,0000000000000000,1739901101.5418808
0x545,0,8,d810008c32003200,1739901101.5421774
0x2b0,0,5,1600000711,1739901101.5441697
0x165,0,8,0fe87f0000000199,1739901101.5444853
0x4b0,0,8,0000000000000000,1739901101.5448022
0x164,0,8,000800000000020a,1739901101.5451105
0x350,0,8,052024797b000003,1739901101.54607
0x4f2,0,8,0000a038000000f3,1739901101.5492368
0x370,0,8,ff200080ff000064,1739901101.5494816
0x43f,0,8,105060ff4b9c0900,1739901101.5497696
0x440,0,8,ff500000ff9c0900,1739901101.550072
0x153,0,8,008010ff00ff60ee,1739901101.550384
0x220,0,8,ef0303040c003e10,1739901101.5506933
0x316,0,8,0520ea0a201a007f,1739901101.5510042
0x329,0,8,d7a77f8c112f0010,1739901101.55131
0x80,0,8,0017ea0a201a2025,1739901101.5517197
